ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x
1540-7306,SECTOR,Journal of Travel and Tourism Marketing,Taylor & Francis,scopus,WoS,2,2,2,NA,30,47,30,30,Journal of Travel & Tourism Marketing,J TRAVEL TOUR MARK,1054-8408,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",6746,8.178,1.99,2.51%,10/58,7.563,Q1,7.593,1.156,7/132,Q1,95.08,0.005,0.969,1.199,83.62,Q1,Q1,64,98.44%,6.7,7.6,63,NA,NA
1521-0588,SECTOR,Leisure Sciences,Taylor & Francis,scopus,WoS,2,2,2,NA,37,41,45,45,LEISURE SCIENCES,LEISURE SCI,0149-0400,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",3703,5.008,0.92,6.56%,22/58,4.322,Q2,4.728,0.586,42/132,Q2,68.56,0.002,0.452,0.939,62.93,Q2,Q2,58,98.28%,12.3,10.5,57,NA,NA
1466-4496,SECTOR,Leisure Studies,Taylor & Francis,scopus,WoS,2,2,2,2,41,40,48,47,Leisure Studies,LEISURE STUD,0261-4367,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",2344,2.531,0.67,7.98%,43/58,2.914,Q3,2.138,0.588,58/132,Q2,56.44,0.002,0.408,0.634,26.72,Q3,Q3,68,100%,6.9,9.1,68,NA,NA
1872-9460,SECTOR,Marine Policy,Elsevier,scopus,WoS,2,2,2,2,24,34,22,20,Marine Policy,MAR POLICY,0308-597X,ENVIRONMENTAL STUDIES - SSCI,15982,4.315,1.6,21.35%,43/128,4.735,Q2,3.563,1.142,22/171,Q1,87.43,0.016,3.534,0.95,66.8,Q2,Q2,572,99.3%,5.1,6.8,568,NA,NA
1464-5254,SECTOR,Maritime Policy and Management,Taylor & Francis,scopus,WoS,2,2,NA,NA,NA,25,29,32,Maritime Policy & Management,MARIT POLICY MANAG,0308-8839,TRANSPORTATION - SSCI,2745,3.167,0.81,7.58%,25/37,3.409,Q3,2.78,0.448,21/50,Q2,59,0.002,0.477,0.655,33.78,Q3,Q3,96,97.92%,6.7,7.2,94,NA,NA
1872-9185,SECTOR,Museum Management and Curatorship,Taylor & Francis,scopus,,2,2,2,2,NA,NA,NA,NA,Museum Management and Curatorship,MUS MANAGE CURATOR,0964-7775,"HUMANITIES, MULTIDISCIPLINARY - AHCI",908,NA,4.45,9.52%,NA,NA,NA,NA,NA,6/402,Q1,98.63,0.001,0.161,0.469,NA,NA,Q2,45,97.78%,7.8,8.9,44,NA,NA
1502-2269,SECTOR,Scandinavian Journal of Hospitality and Tourism,Taylor & Francis,scopus,WoS,2,2,2,NA,46,65,54,58,Scandinavian Journal of Hospitality and Tourism,SCAND J HOSP TOUR,1502-2250,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",1724,4.694,1.55,39.56%,24/58,4.542,Q2,3.355,1.483,18/132,Q1,86.74,0.001,0.207,0.663,59.48,Q2,Q3,29,89.66%,7.1,8.4,26,NA,NA
1743-9507,SECTOR,Service Industries Journal,Taylor & Francis,scopus,WoS,2,2,2,2,48,66,58,52,SERVICE INDUSTRIES JOURNAL,SERV IND J,0264-2069,MANAGEMENT - SSCI,4574,9.405,1.83,6.59%,26/228,6.396,Q2,8.405,2.803,43/393,Q1,89.19,0.002,0.531,0.965,88.82,Q1,Q2,61,93.44%,7.7,9.1,57,NA,NA
1839-2083,SECTOR,Sport Management Review,Elsevier,scopus,WoS,2,2,2,NA,33,21,24,23,Sport Management Review,SPORT MANAG REV,1441-3523,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",3318,5.589,1.45,4.12%,19/58,5.902,Q2,4.879,0.757,21/132,Q1,84.47,0.002,0.533,1.02,68.1,Q2,Q2,70,98.57%,6.3,8.6,69,NA,NA
1943-3999,SECTOR,Tourism Analysis,Cognizant Communication Corporation,scopus,,2,2,2,2,NA,82,73,82,Tourism Analysis,TOUR ANAL,1083-5423,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",1381,NA,0.4,5.36%,NA,NA,NA,NA,NA,81/132,Q3,39.02,0.001,0.163,0.359,NA,NA,Q2,34,97.06%,8.4,10.3,33,NA,NA
2044-0375,SECTOR,Tourism Economics,SAGE,scopus,WoS,2,2,2,2,54,72,53,72,Tourism Economics,TOURISM ECON,1354-8166,ECONOMICS - SSCI,3826,4.582,1.16,3.85%,64/381,3.53,Q2,3.866,0.924,110/572,Q1,80.86,0.003,0.566,0.555,83.33,Q1,Q3,132,96.97%,6.1,8.8,128,NA,NA
1470-1340,SECTOR,Tourism Geographies,Taylor & Francis,scopus,WoS,2,2,2,2,32,33,32,33,Tourism Geographies,TOURISM GEOGR,1461-6688,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",4653,11.355,2.47,11.01%,4/58,9.705,Q1,11.006,1.364,5/132,Q1,96.59,0.005,1.066,1.833,93.97,Q1,Q1,55,98.18%,3.9,8.4,54,NA,NA
2211-9744,SECTOR,Tourism Management Perspectives,Elsevier,scopus,WoS,2,2,NA,NA,NA,29,38,27,Tourism Management Perspectives,TOUR MANAG PERSPECT,2211-9736,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",5424,7.608,1.87,6.28%,13/58,7.8,Q1,7.232,1.826,10/132,Q1,92.8,0.006,1.263,1.223,78.45,Q1,Q1,132,95.45%,3.6,7.6,126,NA,NA
2156-8324,SECTOR,Tourism Planning and Development,Taylor & Francis,scopus,,2,2,2,2,NA,NA,NA,NA,Tourism Planning & Development,TOUR PLAN DEV,2156-8316,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",1329,NA,0.83,9.36%,NA,NA,NA,NA,NA,46/132,Q2,65.53,0.001,0.232,0.543,NA,NA,Q1,63,100%,4.9,8,63,NA,NA
2320-0308,SECTOR,Tourism Recreation Research,Taylor & Francis,scopus,,2,2,2,1,NA,NA,NA,NA,Tourism Recreation Research,TOUR RECREAT RES,0250-8281,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",2231,NA,1.01,5.14%,NA,NA,NA,NA,NA,32/132,Q1,76.14,0.002,0.347,0.635,NA,NA,Q1,109,91.74%,5.7,7.7,100,NA,NA
1741-3206,SECTOR,Tourist Studies,SAGE,scopus,WoS,2,2,2,2,55,51,50,57,Tourist Studies,TOURIST STUD,1468-7976,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",1021,2.759,0.62,18.18%,39/58,2.504,Q4,2.19,0.667,63/132,Q2,52.65,0.001,0.142,0.54,33.62,Q3,Q4,30,100%,10.1,9.2,30,NA,NA
1879-310X,SECTOR,Transport Policy,Elsevier,scopus,WoS,2,2,2,2,22,20,21,21,Transport Policy,TRANSPORT POLICY,0967-070X,ECONOMICS - SSCI,10813,6.173,1.69,11.51%,36/381,6.228,Q1,5.38,2.209,57/572,Q1,90.12,0.01,2.093,1.263,90.68,Q1,Q2,287,98.61%,5.7,5.9,283,NA,NA
1464-5327,SECTOR,Transport Reviews,Taylor & Francis,scopus,WoS,2,2,2,2,9,6,8,9,TRANSPORT REVIEWS,TRANSPORT REV,0144-1647,TRANSPORTATION - SSCI,5341,10.185,1.76,29.63%,3/37,12.178,Q1,9.837,1.814,4/50,Q1,93,0.005,1.174,2.921,93.24,Q1,Q1,43,48.84%,6.9,5.8,21,NA,NA
1572-9435,SECTOR,Transportation,Springer Nature,scopus,WoS,2,2,2,2,21,18,13,22,TRANSPORTATION,TRANSPORTATION,0049-4488,"ENGINEERING, CIVIL - SCIE",6757,4.814,1.22,25.06%,28/138,5.804,Q1,4.561,1.626,26/175,Q1,85.43,0.007,1.401,1.405,80.07,Q1,Q1,131,99.24%,7.1,8.2,130,NA,NA
1573-7888,SECTOR,Voluntas,Springer Nature,scopus,WoS,2,2,2,2,43,60,61,66,Voluntas,VOLUNTAS,0957-8765,SOCIAL ISSUES - SSCI,3498,2.794,1.1,22.64%,16/44,2.93,Q2,2.189,0.654,22/63,Q2,65.87,0.004,0.831,0.71,64.77,Q2,Q3,133,93.98%,5.9,10.1,125,NA,NA
2156-6909,SECTOR,Anatolia: An International Journal of Tourism and Hospi- tality Research,Taylor & Francis,,,1,1,1,NA,NA,NA,NA,NA,Anatolia-International Journal of Tourism and Hospitality Research,ANATOLIA,1303-2917,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",1554,NA,0.66,1.29%,NA,NA,NA,NA,NA,59/132,Q2,55.68,0.001,0.266,0.443,NA,NA,Q1,85,97.65%,4.8,8.1,83,NA,NA
1741-6507,SECTOR,Asia Pacific Journal of Tourism Research,Taylor & Francis,scopus,WoS,1,1,1,NA,44,71,49,54,Asia Pacific Journal of Tourism Research,ASIA PAC J TOUR RES,1094-1665,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",3434,4.074,0.99,1.98%,27/58,4.36,Q2,3.869,1.526,36/132,Q2,73.11,0.003,0.595,0.674,54.31,Q2,Q3,76,100%,5,8.8,76,NA,NA
1758-4108,SECTOR,British Food Journal,Emerald,scopus,WoS,1,1,1,1,45,63,74,49,British Food Journal,BRIT FOOD J,0007-070X,AGRICULTURAL ECONOMICS & POLICY - SCIE,8451,3.224,0.95,6.53%,11/22,3.475,Q2,2.553,0.452,14/35,Q2,61.43,0.004,0.941,0.394,52.27,Q2,Q3,372,95.97%,6,6.8,357,NA,NA
1365-232X,SECTOR,"Engineering, Construction and Architectural Management",Emerald,scopus,WoS,1,1,1,1,NA,49,57,48,Engineering Construction and Architectural Management,ENG CONSTR ARCHIT MA,0969-9988,"ENGINEERING, CIVIL - SCIE",4198,3.85,0.74,1.21%,46/138,4.245,Q2,3.092,0.677,61/175,Q2,65.43,0.002,0.519,0.445,67.03,Q2,Q3,279,90.68%,4.1,7.4,253,NA,NA
1758-2962,SECTOR,International Journal of Event and Festival Management,Emerald,scopus,,1,1,1,NA,NA,64,78,69,International Journal of Event and Festival Management,INT J EVENT FESTIV M,1758-2954,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",549,NA,0.47,1.32%,NA,NA,NA,NA,NA,75/132,Q3,43.56,0,0.077,0.377,NA,NA,Q2,30,93.33%,6.4,7.7,28,NA,NA
1470-3610,SECTOR,International Journal of Heritage Studies,Taylor & Francis,scopus,WoS,1,1,1,1,50,31,69,64,International Journal of Heritage Studies,INT J HERIT STUD,1352-7258,"HUMANITIES, MULTIDISCIPLINARY - AHCI",1847,1.692,3.28,21.67%,NA,1.908,NA,1.409,0.273,13/402,Q1,96.89,0.002,0.511,0.641,NA,NA,Q1,55,100%,7.3,9.1,55,NA,NA
1525-6499,SECTOR,International Journal of Hospitality and Tourism Adminis- tration,Taylor & Francis,scopus,,1,1,1,NA,NA,81,76,79,International Journal of Hospitality & Tourism Administration,INT J HOSP TOUR ADM,1525-6480,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",853,NA,0.95,0%,NA,NA,NA,NA,NA,38/132,Q2,71.59,0,0.1,0.496,NA,NA,Q1,51,100%,6.3,10.7,51,NA,NA
1930-076X,SECTOR,International Journal of Sport Finance,Fitness Information Technology,scopus,WoS,1,1,1,NA,57,68,75,80,International Journal of Sport Finance,INT J SPORT FINANC,1558-6235,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",392,1,0.24,0%,55/58,1.11,Q4,0.839,0.417,99/132,Q3,25.38,0,0.056,0.301,6.03,Q4,Q4,12,100%,8.7,10.9,12,NA,NA
1940-6959,SECTOR,International Journal of Sport Policy and Politics,Taylor & Francis,scopus,,1,1,1,NA,NA,37,40,50,International Journal of Sport Policy and Politics,INT J SPORT POLICY P,1940-6940,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",1066,NA,0.61,14.08%,NA,NA,NA,NA,NA,64/132,Q2,51.89,0.001,0.259,0.565,NA,NA,Q1,50,98%,5.1,8.5,49,NA,NA
1938-8179,SECTOR,Journal of China Tourism Research,Taylor & Francis,scopus,,1,1,1,NA,NA,85,66,78,Journal of China Tourism Research,J CHINA TOUR RES,1938-8160,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",656,NA,0.49,0.68%,NA,NA,NA,NA,NA,73/132,Q3,45.08,0.001,0.108,0.309,NA,NA,Q2,50,96%,4.8,8.1,48,NA,NA
1547-0156,SECTOR,Journal of Convention and Event Tourism,Taylor & Francis,scopus,,1,1,1,NA,NA,77,82,84,Journal of Convention & Event Tourism,J CONV EVENT TOUR,1547-0148,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",443,NA,0.35,8.45%,NA,NA,NA,NA,NA,90/132,Q3,32.2,0,0.041,0.186,NA,NA,Q3,17,94.12%,8.5,7.5,16,NA,NA
2325-6540,SECTOR,Journal of Hospitality and Tourism Education,Taylor & Francis,scopus,,1,1,1,NA,NA,NA,NA,NA,Journal of Hospitality & Tourism Education,J HOSP TOUR EDUC,1096-3758,EDUCATION & EDUCATIONAL RESEARCH - ESCI,635,NA,1.38,0%,NA,NA,NA,NA,NA,148/743,Q1,80.15,0,0.061,0.242,NA,NA,Q2,40,97.5%,5.1,9.3,39,NA,NA
1839-5260,SECTOR,Journal of Hospitality and Tourism Management,Elsevier,scopus,WoS,1,1,1,1,NA,58,44,46,Journal of Hospitality and Tourism Management,J HOSP TOUR MANAG,1447-6770,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",4061,7.629,1.72,0%,12/58,7.809,Q1,6.849,1.819,14/132,Q1,89.77,0.004,0.894,1.129,80.17,Q1,Q2,215,97.21%,2.8,8.1,209,NA,NA
1757-9899,SECTOR,Journal of Hospitality and Tourism Technology,Emerald,scopus,WoS,1,1,NA,NA,NA,57,52,43,Journal of Hospitality and Tourism Technology,J HOSP TOUR TECHNOL,1757-9880,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",1285,5.576,0.95,2.24%,20/58,5.54,Q2,4.576,0.898,38/132,Q2,71.59,0.001,0.251,0.756,66.38,Q2,Q2,49,87.76%,3.7,7.1,43,NA,NA
1936-8631,SECTOR,Journal of Hospitality Marketing and Management,Taylor & Francis,scopus,WoS,1,1,1,NA,NA,42,26,28,Journal of Hospitality Marketing & Management,J HOSP MARKET MANAG,1936-8623,BUSINESS - SSCI,3296,9.821,1.69,0.67%,26/154,8.025,Q2,9.075,1.886,33/296,Q1,89.02,0.003,0.612,1.229,83.44,Q1,Q2,44,88.64%,4.6,6.7,39,NA,NA
2213-0799,SECTOR,Journal of Outdoor Recreation and Tourism,Elsevier,scopus,WoS,1,1,NA,NA,NA,56,60,51,Journal of Outdoor Recreation and Tourism-Research Planning and Management,J OUTDOOR REC TOUR,2213-0780,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",1027,3.462,0.88,12.02%,34/58,3.445,Q3,3.038,0.658,43/132,Q2,67.8,0.001,0.23,0.54,42.24,Q3,Q4,79,97.47%,4.2,8.8,77,NA,NA
1940-7971,SECTOR,"Journal of Policy Research in Tourism, Leisure and Events",Taylor & Francis,scopus,,1,1,1,NA,NA,73,77,68,Journal of Policy Research in Tourism Leisure and Events,J POLICY RES TOUR LE,1940-7963,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",671,NA,0.61,8.4%,NA,NA,NA,NA,NA,64/132,Q2,51.89,0.001,0.114,0.425,NA,NA,Q2,44,97.73%,4.6,7.5,43,NA,NA
1754-2340,SECTOR,Journal of the Textile Institute,Taylor & Francis,scopus,WoS,1,1,1,1,53,59,62,70,JOURNAL OF THE TEXTILE INSTITUTE,J TEXT I,0040-5000,"MATERIALS SCIENCE, TEXTILES - SCIE",4798,1.77,0.48,1.5%,13/26,1.901,Q2,1.616,0.263,13/29,Q2,56.9,0.003,0.583,0.232,51.92,Q2,Q2,262,95.04%,6,7.9,249,NA,NA
1479-1870,SECTOR,Journal of Vacation Marketing,SAGE,scopus,WoS,1,1,1,NA,NA,44,36,44,Journal of Vacation Marketing,J VACAT MARK,1356-7667,BUSINESS - SSCI,2122,4,0.82,0%,99/154,3.827,Q3,3.74,0.735,112/296,Q2,62.33,0.001,0.19,0.622,36.04,Q3,Q3,49,95.92%,10.1,8.2,47,NA,NA
2375-0480,SECTOR,Managing Leisure: An International Journal,Taylor & Francis,,,1,1,1,1,NA,NA,NA,NA,Managing Sport and Leisure,MANAG SPORT LEIS,2375-0472,MANAGEMENT - ESCI,787,NA,0.81,10.67%,NA,NA,NA,NA,NA,160/393,Q2,59.41,0.001,0.259,0.613,NA,NA,Q1,43,100%,1.7,7.4,43,NA,NA
2334-5985,SECTOR,Marine Resource Economics,University of Chicago Press,scopus,WoS,1,1,1,1,34,46,39,40,Marine Resource Economics,MAR RESOUR ECON,0738-1360,ECONOMICS - SSCI,1125,2.811,0.8,0%,136/381,3.121,Q2,2.568,0.833,186/572,Q2,67.57,0.001,0.144,0.712,64.44,Q2,Q3,24,100%,11,9.8,24,NA,NA
1479-294X,SECTOR,Maritime Economics and Logistics,Springer Nature,scopus,WoS,1,1,1,NA,42,39,43,55,Maritime Economics & Logistics,MARIT ECON LOGIST,1479-2931,TRANSPORTATION - SSCI,1192,3.841,0.68,12.12%,19/37,3.145,Q3,3.304,1.333,31/50,Q3,39,0.001,0.192,0.592,50,Q3,Q4,30,96.67%,7,7.3,29,NA,NA
1542-7854,SECTOR,Non-Profit Management & Leadership,Wiley-Blackwell,scopus,WoS,1,1,1,1,47,61,51,62,Nonprofit Management & Leadership,NONPROFIT MANAG LEAD,1048-6682,MANAGEMENT - SSCI,1694,2.627,0.8,6.09%,177/228,2.805,Q4,2.313,0.375,164/393,Q2,58.4,0.001,0.255,0.719,22.59,Q4,Q3,32,96.88%,11.4,10,31,NA,NA
1695-7121,SECTOR,PASOS Journal of Tourism and Cultural Heritage,Revista PASOS,,,1,1,NA,NA,NA,NA,NA,NA,Pasos-Revista de Turismo y Patrimonio Cultural,PASOS,1695-7121,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",579,NA,0.16,100%,NA,NA,NA,NA,NA,111/132,Q4,16.29,0,0.099,0.14,NA,NA,Q3,51,100%,7.1,10.6,51,NA,NA
1862-8508,SECTOR,Service Business,Springer Nature,scopus,WoS,1,NA,NA,NA,40,45,56,41,Service Business,SERV BUS,1862-8516,BUSINESS - SSCI,1192,5.236,0.99,7.29%,73/154,4.27,Q3,3.618,0.927,90/296,Q2,69.76,0.001,0.173,0.52,52.92,Q2,Q4,41,97.56%,4.9,8,40,NA,NA
1557-2528,SECTOR,Sport Marketing Quarterly,FiT Publishing,scopus,WoS,1,1,1,NA,NA,NA,NA,NA,Sport Marketing Quarterly,SPORT MARKET Q,1061-6934,BUSINESS - SSCI,1010,2.395,0.57,0%,130/154,2.602,Q4,2.263,0.292,160/296,Q2,46.11,0,0.088,0.463,15.91,Q4,Q4,24,100%,12.1,11.9,24,NA,NA
2042-6798,SECTOR,"Sport, Business and Management: An International Journal",Emerald,scopus,,1,1,1,NA,NA,NA,NA,NA,Sport Business and Management-An International Journal,SPORT BUS MANAG,2042-678X,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",487,NA,0.45,0%,NA,NA,NA,NA,NA,76/132,Q3,42.8,0,0.101,0.313,NA,NA,Q2,42,100%,4.6,9.1,42,NA,NA
1879-3258,SECTOR,Telecommunications Policy,Elsevier,scopus,WoS,1,1,1,2,39,32,46,39,TELECOMMUNICATIONS POLICY,TELECOMMUN POLICY,0308-5961,COMMUNICATION - SSCI,3209,4.497,1.38,7.87%,17/95,4.191,Q2,3.873,1.134,38/218,Q1,82.8,0.003,0.602,0.794,82.63,Q1,Q3,97,98.97%,5.8,6,96,NA,NA
1849-1545,SECTOR,Tourism,Institute for Tourism & Croatian Tourist Board,scopus,,1,1,1,NA,NA,87,87,85,Tourism,TOURISM,1332-7461,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",707,NA,0.4,69.52%,NA,NA,NA,NA,NA,81/132,Q3,39.02,0,0.07,0.216,NA,NA,Q2,40,100%,6.3,9,40,NA,NA
1759-8451,SECTOR,Tourism Review,Emerald,scopus,WoS,1,1,1,NA,NA,78,71,63,Tourism Review,TOUR REV,1660-5373,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",2836,7.689,1.58,2.41%,11/58,7.003,Q2,5.646,1.432,17/132,Q1,87.5,0.002,0.533,0.885,81.9,Q1,Q2,81,92.59%,2.5,6,75,NA,NA
1878-4356,SECTOR,Utilities Policy,Elsevier,scopus,WoS,1,1,1,1,38,53,47,42,Utilities Policy,UTIL POLICY,0957-1787,ENERGY & FUELS - SCIE,2603,3.247,0.54,6.65%,81/119,3.501,Q3,2.833,1.031,84/145,Q3,42.41,0.003,0.551,0.627,32.35,Q3,Q3,130,95.38%,5.2,6,124,NA,NA
1934-7715,SECTOR,Visitor Studies,Taylor & Francis,scopus,,1,1,1,NA,NA,62,64,76,Visitor Studies,VISIT STUD,1064-5578,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",385,NA,0.35,5.26%,NA,NA,NA,NA,NA,90/132,Q3,32.2,0,0.073,0.527,NA,NA,Q1,7,100%,8.1,10.5,7,NA,NA
1755-4225,SECTOR,Worldwide Hospitality and Tourism Themes,Emerald,scopus,,1,1,,NA,NA,83,88,88,Worldwide Hospitality and Tourism Themes,WORLDW HOSP TOUR THE,1755-4217,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",875,NA,0.38,1.95%,NA,NA,NA,NA,NA,86/132,Q3,35.23,0.001,0.164,0.247,NA,NA,Q2,75,93.33%,4,6.3,70,NA,NA
1537-5390,SOC SCI,American Journal of Sociology,University of Chicago Press,scopus,WoS,4*,4*,4*,4,5,3,4,6,AMERICAN JOURNAL OF SOCIOLOGY,AM J SOCIOL,0002-9602,SOCIOLOGY - SSCI,23532,4.8,2.13,0%,16/150,7.124,Q1,4.655,0.355,10/211,Q1,95.5,0.007,1.56,4.75,89.67,Q1,Q1,31,100%,28.6,12.8,31,NA,NA
1939-8271,SOC SCI,American Sociological Review,SAGE,scopus,WoS,4*,4*,4*,4,2,2,1,4,AMERICAN SOCIOLOGICAL REVIEW,AM SOCIOL REV,0003-1224,SOCIOLOGY - SSCI,26488,12.444,4.69,11.21%,2/150,13.153,Q1,12.16,1.314,2/211,Q1,99.29,0.016,3.527,8.041,99,Q1,Q1,35,100%,24.4,11.1,35,NA,NA
1545-2115,SOC SCI,Annual Review of Sociology,Annual Reviews Inc.,scopus,WoS,4*,4*,4*,4,1,1,2,1,Annual Review of Sociology,ANNU REV SOCIOL,0360-0572,SOCIOLOGY - SSCI,15727,10.032,4.17,1.09%,4/150,12.57,Q1,9.873,1.759,4/211,Q1,98.34,0.009,1.987,7.213,97.67,Q1,Q1,29,100%,17.7,10.7,29,NA,NA
1472-3433,SOC SCI,Environment and Planning D: Society and Space,SAGE,scopus,WoS,4,4,4,4,25,32,15,23,ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,ENVIRON PLANN D,0263-7758,ENVIRONMENTAL STUDIES - SSCI,5358,4.594,1.5,25.76%,40/128,5.215,Q2,4.469,0.364,29/171,Q1,83.33,0.008,1.754,2.678,69.14,Q2,Q1,55,100%,10.1,9.1,55,NA,NA
1539-6924,SOC SCI,Risk Analysis,Wiley-Blackwell,scopus,WoS,4,4,4,4,21,41,39,26,RISK ANALYSIS,RISK ANAL,0272-4332,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE",13641,4.302,1.29,20.04%,12/108,4.246,Q1,3.764,1.346,16/132,Q1,88.26,0.008,1.768,1.028,89.35,Q1,Q1,188,97.34%,10.4,8.7,183,NA,NA
1873-5347,SOC SCI,Social Science and Medicine,Elsevier,scopus,WoS,4,4,4,4,11,21,19,12,SOCIAL SCIENCE & MEDICINE,SOC SCI MED,0277-9536,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",62797,5.379,1.51,22.88%,54/210,5.887,Q1,5.019,1.589,36/392,Q1,90.94,0.05,10.655,1.913,74.52,Q2,Q1,791,94.69%,10.3,7.7,749,NA,NA
1469-8684,SOC SCI,Sociology,SAGE,scopus,WoS,4,4,4,3,23,7,23,19,SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,SOCIOLOGY,0038-0385,SOCIOLOGY - SSCI,7193,3.371,1.73,52.34%,33/150,4.24,Q1,3.192,0.5,25/211,Q1,88.39,0.006,1.338,1.712,78.33,Q1,Q1,68,98.53%,12.4,10.3,67,NA,NA
1467-9566,SOC SCI,Sociology of Health and Illness,Wiley-Blackwell,scopus,WoS,4,4,4,4,30,39,37,28,SOCIOLOGY OF HEALTH & ILLNESS,SOCIOL HEALTH ILL,0141-9889,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",6288,2.957,1.04,33.51%,91/182,3.381,Q2,2.642,0.68,86/392,Q1,78.19,0.005,1.11,1.058,50.27,Q2,Q2,122,95.08%,10.1,8.5,116,NA,NA
1467-8330,SOC SCI,Antipode,Wiley-Blackwell,scopus,WoS,3,3,3,NA,16,6,9,14,ANTIPODE,ANTIPODE,0066-4812,GEOGRAPHY - SSCI,6033,4.246,1.66,25.84%,16/86,4.743,Q1,3.882,1.326,11/167,Q1,93.71,0.009,1.844,2.132,81.98,Q1,Q1,95,100%,8.6,7.4,95,NA,NA
1468-4446,SOC SCI,British Journal of Sociology,Wiley-Blackwell,scopus,WoS,3,3,3,3,29,9,41,27,BRITISH JOURNAL OF SOCIOLOGY,BRIT J SOCIOL,0007-1315,SOCIOLOGY - SSCI,4350,3.277,1.3,24.68%,34/150,3.954,Q1,3.068,0.711,50/211,Q1,76.54,0.006,1.189,2.075,77.67,Q1,Q1,83,100%,12.9,10.2,83,NA,NA
1099-0836,SOC SCI,Business Strategy and the Environment,Wiley-Blackwell,scopus,WoS,3,3,3,NA,6,10,16,5,Business Strategy and the Environment,BUS STRATEG ENVIRON,0964-4733,BUSINESS - SSCI,13447,10.801,2.21,18.48%,19/154,11.604,Q1,8.346,2.437,12/296,Q1,96.11,0.009,1.859,1.342,87.99,Q1,Q2,245,95.51%,4,6.5,234,NA,NA
1467-7660,SOC SCI,Development and Change,Wiley-Blackwell,scopus,WoS,3,3,3,NA,36,30,27,34,DEVELOPMENT AND CHANGE,DEV CHANGE,0012-155X,DEVELOPMENT STUDIES - SSCI,4300,3.458,1.13,31.16%,12/42,3.438,Q2,3.252,0.717,10/60,Q1,84.17,0.004,0.954,1.384,72.62,Q2,Q1,60,95%,11.4,6.5,57,NA,NA
1469-5766,SOC SCI,Economy and Society,Taylor & Francis,scopus,WoS,3,3,3,3,33,14,34,21,ECONOMY AND SOCIETY,ECON SOC,0308-5147,ECONOMICS - SSCI,3245,4.182,1.35,23.47%,79/381,3.992,Q1,3.909,1.047,92/572,Q1,84,0.002,0.493,1.859,79.4,Q1,Q1,43,100%,14.4,9.5,43,NA,NA
1873-6890,SOC SCI,Electoral Studies,Elsevier,scopus,WoS,3,3,3,NA,46,52,22,53,ELECTORAL STUDIES,ELECT STUD,0261-3794,POLITICAL SCIENCE - SSCI,4397,2.08,0.93,14.65%,86/188,2.868,Q2,1.787,0.586,112/307,Q2,63.68,0.008,1.614,1.652,54.52,Q2,Q2,140,100%,8.3,9.8,140,NA,NA
